colour	x	xend	y	yend	showSelected1	showSelected2
#FC8D62	23	23	-0.828172114073528	0.260653639891282	1	validation
#66C2A5	24	24	-1.03456378199638	0.260653639891282	1	subtrain
#FC8D62	25	25	-0.773646037620576	0.260653639891282	1	validation
#66C2A5	26	26	-0.841241486362947	0.260653639891282	1	subtrain
#FC8D62	27	27	-0.85120816308058	0.260653639891282	1	validation
#FC8D62	28	28	-0.982703850799975	0.260653639891282	1	validation
#FC8D62	29	29	-0.883443617920909	0.260653639891282	1	validation
#66C2A5	30	30	-0.793834456390077	0.260653639891282	1	subtrain
#66C2A5	31	31	1.7311487572907	0.260653639891282	1	subtrain
#66C2A5	32	32	1.58500202940349	0.260653639891282	1	subtrain
#66C2A5	33	33	1.63404796329373	0.260653639891282	1	subtrain
#FC8D62	34	34	1.5899002980795	0.260653639891282	1	validation
#FC8D62	35	35	1.45757484645493	0.260653639891282	1	validation
#66C2A5	36	36	1.55378134580782	0.260653639891282	1	subtrain
#FC8D62	37	37	1.55585180676676	0.260653639891282	1	validation
#FC8D62	38	38	1.58934946246667	0.260653639891282	1	validation
#66C2A5	39	39	1.70528333933618	0.260653639891282	1	subtrain
#66C2A5	40	40	1.67159837698355	0.260653639891282	1	subtrain
#66C2A5	41	41	0.313055412190002	0.260653639891282	1	subtrain
#FC8D62	42	42	0.30417160380171	0.260653639891282	1	validation
#66C2A5	43	43	0.399204109355834	0.260653639891282	1	subtrain
#66C2A5	44	44	0.385174091682726	0.260653639891282	1	subtrain
#66C2A5	45	45	0.260632202360409	0.260653639891282	1	subtrain
#FC8D62	46	46	0.258758256119149	0.260653639891282	1	validation
#FC8D62	47	47	0.365965968029044	0.260653639891282	1	validation
#66C2A5	48	48	0.406361064266902	0.260653639891282	1	subtrain
#FC8D62	49	49	0.318273150600338	0.260653639891282	1	validation
#66C2A5	50	50	0.417618544460782	0.260653639891282	1	subtrain
#FC8D62	3	3	-0.710016671983337	-0.466925730528553	13	validation
#66C2A5	4	4	-0.466925730528553	-0.466925730528553	13	subtrain
#FC8D62	5	5	-0.593503033560796	-0.466925730528553	13	validation
#FC8D62	3	3	-0.710016671983337	-0.466925730528553	14	validation
#66C2A5	4	4	-0.466925730528553	-0.466925730528553	14	subtrain
#FC8D62	5	5	-0.593503033560796	-0.466925730528553	14	validation
#FC8D62	3	3	-0.710016671983337	-0.466925730528553	15	validation
#66C2A5	4	4	-0.466925730528553	-0.466925730528553	15	subtrain
#FC8D62	5	5	-0.593503033560796	-0.466925730528553	15	validation
#FC8D62	3	3	-0.710016671983337	-0.466925730528553	16	validation
#66C2A5	4	4	-0.466925730528553	-0.466925730528553	16	subtrain
#FC8D62	5	5	-0.593503033560796	-0.466925730528553	16	validation
#FC8D62	3	3	-0.710016671983337	-0.466925730528553	17	validation
#66C2A5	4	4	-0.466925730528553	-0.466925730528553	17	subtrain
#FC8D62	5	5	-0.593503033560796	-0.466925730528553	17	validation
#FC8D62	3	3	-0.710016671983337	-0.466925730528553	18	validation
#66C2A5	4	4	-0.466925730528553	-0.466925730528553	18	subtrain
#FC8D62	5	5	-0.593503033560796	-0.466925730528553	18	validation
#FC8D62	3	3	-0.710016671983337	-0.466925730528553	19	validation
#66C2A5	4	4	-0.466925730528553	-0.466925730528553	19	subtrain
#FC8D62	5	5	-0.593503033560796	-0.466925730528553	19	validation
#FC8D62	3	3	-0.710016671983337	-0.466925730528553	20	validation
#66C2A5	4	4	-0.466925730528553	-0.466925730528553	20	subtrain
#FC8D62	5	5	-0.593503033560796	-0.466925730528553	20	validation
#FC8D62	3	3	-0.710016671983337	-0.466925730528553	21	validation
#66C2A5	4	4	-0.466925730528553	-0.466925730528553	21	subtrain
#FC8D62	5	5	-0.593503033560796	-0.466925730528553	21	validation
#FC8D62	3	3	-0.710016671983337	-0.466925730528553	22	validation
#66C2A5	4	4	-0.466925730528553	-0.466925730528553	22	subtrain
#FC8D62	5	5	-0.593503033560796	-0.466925730528553	22	validation
#FC8D62	3	3	-0.710016671983337	-0.466925730528553	23	validation
#66C2A5	4	4	-0.466925730528553	-0.466925730528553	23	subtrain
#FC8D62	5	5	-0.593503033560796	-0.466925730528553	23	validation
#FC8D62	3	3	-0.710016671983337	-0.466925730528553	24	validation
#66C2A5	4	4	-0.466925730528553	-0.466925730528553	24	subtrain
#FC8D62	5	5	-0.593503033560796	-0.466925730528553	24	validation
#FC8D62	3	3	-0.710016671983337	-0.466925730528553	25	validation
#66C2A5	4	4	-0.466925730528553	-0.466925730528553	25	subtrain
#FC8D62	5	5	-0.593503033560796	-0.466925730528553	25	validation
#FC8D62	3	3	-0.710016671983337	-0.532419325419149	8	validation
#66C2A5	4	4	-0.466925730528553	-0.532419325419149	8	subtrain
#FC8D62	5	5	-0.593503033560796	-0.532419325419149	8	validation
#FC8D62	6	6	-0.708500649154134	-0.532419325419149	8	validation
#66C2A5	7	7	-0.577710905499484	-0.532419325419149	8	subtrain
#66C2A5	8	8	-0.552621340229411	-0.532419325419149	8	subtrain
#FC8D62	9	9	-0.568875675576983	-0.532419325419149	8	validation
#FC8D62	10	10	-0.656992649457968	-0.532419325419149	8	validation
#FC8D62	3	3	-0.710016671983337	-0.532419325419149	9	validation
#66C2A5	4	4	-0.466925730528553	-0.532419325419149	9	subtrain
#FC8D62	5	5	-0.593503033560796	-0.532419325419149	9	validation
#FC8D62	6	6	-0.708500649154134	-0.532419325419149	9	validation
#66C2A5	7	7	-0.577710905499484	-0.532419325419149	9	subtrain
#66C2A5	8	8	-0.552621340229411	-0.532419325419149	9	subtrain
#FC8D62	9	9	-0.568875675576983	-0.532419325419149	9	validation
#FC8D62	10	10	-0.656992649457968	-0.532419325419149	9	validation
#FC8D62	3	3	-0.710016671983337	-0.532419325419149	10	validation
#66C2A5	4	4	-0.466925730528553	-0.532419325419149	10	subtrain
#FC8D62	5	5	-0.593503033560796	-0.532419325419149	10	validation
#FC8D62	6	6	-0.708500649154134	-0.532419325419149	10	validation
#66C2A5	7	7	-0.577710905499484	-0.532419325419149	10	subtrain
#66C2A5	8	8	-0.552621340229411	-0.532419325419149	10	subtrain
#FC8D62	9	9	-0.568875675576983	-0.532419325419149	10	validation
#FC8D62	10	10	-0.656992649457968	-0.532419325419149	10	validation
#FC8D62	3	3	-0.710016671983337	-0.532419325419149	11	validation
#66C2A5	4	4	-0.466925730528553	-0.532419325419149	11	subtrain
#FC8D62	5	5	-0.593503033560796	-0.532419325419149	11	validation
#FC8D62	6	6	-0.708500649154134	-0.532419325419149	11	validation
#66C2A5	7	7	-0.577710905499484	-0.532419325419149	11	subtrain
#66C2A5	8	8	-0.552621340229411	-0.532419325419149	11	subtrain
#FC8D62	9	9	-0.568875675576983	-0.532419325419149	11	validation
#FC8D62	10	10	-0.656992649457968	-0.532419325419149	11	validation
#FC8D62	3	3	-0.710016671983337	-0.532419325419149	12	validation
#66C2A5	4	4	-0.466925730528553	-0.532419325419149	12	subtrain
#FC8D62	5	5	-0.593503033560796	-0.532419325419149	12	validation
#FC8D62	6	6	-0.708500649154134	-0.532419325419149	12	validation
#66C2A5	7	7	-0.577710905499484	-0.532419325419149	12	subtrain
#66C2A5	8	8	-0.552621340229411	-0.532419325419149	12	subtrain
#FC8D62	9	9	-0.568875675576983	-0.532419325419149	12	validation
#FC8D62	10	10	-0.656992649457968	-0.532419325419149	12	validation
#FC8D62	6	6	-0.708500649154134	-0.577710905499484	21	validation
#66C2A5	7	7	-0.577710905499484	-0.577710905499484	21	subtrain
#FC8D62	6	6	-0.708500649154134	-0.577710905499484	22	validation
#66C2A5	7	7	-0.577710905499484	-0.577710905499484	22	subtrain
#FC8D62	6	6	-0.708500649154134	-0.577710905499484	23	validation
#66C2A5	7	7	-0.577710905499484	-0.577710905499484	23	subtrain
#FC8D62	6	6	-0.708500649154134	-0.577710905499484	24	validation
#66C2A5	7	7	-0.577710905499484	-0.577710905499484	24	subtrain
#FC8D62	6	6	-0.708500649154134	-0.577710905499484	25	validation
#66C2A5	7	7	-0.577710905499484	-0.577710905499484	25	subtrain
#FC8D62	6	6	-0.708500649154134	-0.565166122864447	13	validation
#66C2A5	7	7	-0.577710905499484	-0.565166122864447	13	subtrain
#66C2A5	8	8	-0.552621340229411	-0.565166122864447	13	subtrain
#FC8D62	9	9	-0.568875675576983	-0.565166122864447	13	validation
#FC8D62	10	10	-0.656992649457968	-0.565166122864447	13	validation
#FC8D62	6	6	-0.708500649154134	-0.565166122864447	14	validation
#66C2A5	7	7	-0.577710905499484	-0.565166122864447	14	subtrain
#66C2A5	8	8	-0.552621340229411	-0.565166122864447	14	subtrain
#FC8D62	9	9	-0.568875675576983	-0.565166122864447	14	validation
#FC8D62	10	10	-0.656992649457968	-0.565166122864447	14	validation
#FC8D62	6	6	-0.708500649154134	-0.565166122864447	15	validation
#66C2A5	7	7	-0.577710905499484	-0.565166122864447	15	subtrain
#66C2A5	8	8	-0.552621340229411	-0.565166122864447	15	subtrain
#FC8D62	9	9	-0.568875675576983	-0.565166122864447	15	validation
#FC8D62	10	10	-0.656992649457968	-0.565166122864447	15	validation
#FC8D62	6	6	-0.708500649154134	-0.565166122864447	16	validation
#66C2A5	7	7	-0.577710905499484	-0.565166122864447	16	subtrain
#66C2A5	8	8	-0.552621340229411	-0.565166122864447	16	subtrain
#FC8D62	9	9	-0.568875675576983	-0.565166122864447	16	validation
#FC8D62	10	10	-0.656992649457968	-0.565166122864447	16	validation
#FC8D62	6	6	-0.708500649154134	-0.565166122864447	17	validation
#66C2A5	7	7	-0.577710905499484	-0.565166122864447	17	subtrain
#66C2A5	8	8	-0.552621340229411	-0.565166122864447	17	subtrain
#FC8D62	9	9	-0.568875675576983	-0.565166122864447	17	validation
#FC8D62	10	10	-0.656992649457968	-0.565166122864447	17	validation
#FC8D62	6	6	-0.708500649154134	-0.565166122864447	18	validation
#66C2A5	7	7	-0.577710905499484	-0.565166122864447	18	subtrain
#66C2A5	8	8	-0.552621340229411	-0.565166122864447	18	subtrain
#FC8D62	9	9	-0.568875675576983	-0.565166122864447	18	validation
#FC8D62	10	10	-0.656992649457968	-0.565166122864447	18	validation
#FC8D62	6	6	-0.708500649154134	-0.565166122864447	19	validation
#66C2A5	7	7	-0.577710905499484	-0.565166122864447	19	subtrain
#66C2A5	8	8	-0.552621340229411	-0.565166122864447	19	subtrain
#FC8D62	9	9	-0.568875675576983	-0.565166122864447	19	validation
#FC8D62	10	10	-0.656992649457968	-0.565166122864447	19	validation
#FC8D62	6	6	-0.708500649154134	-0.565166122864447	20	validation
#66C2A5	7	7	-0.577710905499484	-0.565166122864447	20	subtrain
#66C2A5	8	8	-0.552621340229411	-0.565166122864447	20	subtrain
#FC8D62	9	9	-0.568875675576983	-0.565166122864447	20	validation
#FC8D62	10	10	-0.656992649457968	-0.565166122864447	20	validation
#66C2A5	8	8	-0.552621340229411	-0.552621340229411	21	subtrain
#FC8D62	9	9	-0.568875675576983	-0.552621340229411	21	validation
#FC8D62	10	10	-0.656992649457968	-0.552621340229411	21	validation
#66C2A5	8	8	-0.552621340229411	-0.552621340229411	22	subtrain
#FC8D62	9	9	-0.568875675576983	-0.552621340229411	22	validation
#FC8D62	10	10	-0.656992649457968	-0.552621340229411	22	validation
#66C2A5	8	8	-0.552621340229411	-0.552621340229411	23	subtrain
#FC8D62	9	9	-0.568875675576983	-0.552621340229411	23	validation
#FC8D62	10	10	-0.656992649457968	-0.552621340229411	23	validation
#66C2A5	8	8	-0.552621340229411	-0.552621340229411	24	subtrain
#FC8D62	9	9	-0.568875675576983	-0.552621340229411	24	validation
#FC8D62	10	10	-0.656992649457968	-0.552621340229411	24	validation
#66C2A5	8	8	-0.552621340229411	-0.552621340229411	25	subtrain
#FC8D62	9	9	-0.568875675576983	-0.552621340229411	25	validation
#FC8D62	10	10	-0.656992649457968	-0.552621340229411	25	validation
#FC8D62	11	11	0.334821441067167	0.222627647863225	19	validation
#66C2A5	12	12	0.222627647863225	0.222627647863225	19	subtrain
#FC8D62	13	13	0.121519266167902	0.222627647863225	19	validation
#FC8D62	14	14	-0.0378266644956678	0.222627647863225	19	validation
#FC8D62	11	11	0.334821441067167	0.222627647863225	20	validation
#66C2A5	12	12	0.222627647863225	0.222627647863225	20	subtrain
#FC8D62	13	13	0.121519266167902	0.222627647863225	20	validation
#FC8D62	14	14	-0.0378266644956678	0.222627647863225	20	validation
#FC8D62	11	11	0.334821441067167	0.222627647863225	21	validation
#66C2A5	12	12	0.222627647863225	0.222627647863225	21	subtrain
#FC8D62	13	13	0.121519266167902	0.222627647863225	21	validation
#FC8D62	14	14	-0.0378266644956678	0.222627647863225	21	validation
#FC8D62	11	11	0.334821441067167	0.222627647863225	22	validation
#66C2A5	12	12	0.222627647863225	0.222627647863225	22	subtrain
#FC8D62	13	13	0.121519266167902	0.222627647863225	22	validation
#FC8D62	14	14	-0.0378266644956678	0.222627647863225	22	validation
#FC8D62	11	11	0.334821441067167	0.222627647863225	23	validation
#66C2A5	12	12	0.222627647863225	0.222627647863225	23	subtrain
#FC8D62	13	13	0.121519266167902	0.222627647863225	23	validation
#FC8D62	14	14	-0.0378266644956678	0.222627647863225	23	validation
#FC8D62	11	11	0.334821441067167	0.222627647863225	24	validation
#66C2A5	12	12	0.222627647863225	0.222627647863225	24	subtrain
#FC8D62	13	13	0.121519266167902	0.222627647863225	24	validation
#FC8D62	14	14	-0.0378266644956678	0.222627647863225	24	validation
#FC8D62	11	11	0.334821441067167	0.222627647863225	25	validation
#66C2A5	12	12	0.222627647863225	0.222627647863225	25	subtrain
#FC8D62	13	13	0.121519266167902	0.222627647863225	25	validation
#FC8D62	14	14	-0.0378266644956678	0.222627647863225	25	validation
#FC8D62	11	11	0.334821441067167	0.200888805591892	15	validation
#66C2A5	12	12	0.222627647863225	0.200888805591892	15	subtrain
#FC8D62	13	13	0.121519266167902	0.200888805591892	15	validation
#FC8D62	14	14	-0.0378266644956678	0.200888805591892	15	validation
#FC8D62	15	15	0.296136416036393	0.200888805591892	15	validation
#66C2A5	16	16	0.179149963320559	0.200888805591892	15	subtrain
#FC8D62	17	17	0.182024297912188	0.200888805591892	15	validation
#FC8D62	11	11	0.334821441067167	0.200888805591892	16	validation
#66C2A5	12	12	0.222627647863225	0.200888805591892	16	subtrain
#FC8D62	13	13	0.121519266167902	0.200888805591892	16	validation
#FC8D62	14	14	-0.0378266644956678	0.200888805591892	16	validation
#FC8D62	15	15	0.296136416036393	0.200888805591892	16	validation
#66C2A5	16	16	0.179149963320559	0.200888805591892	16	subtrain
#FC8D62	17	17	0.182024297912188	0.200888805591892	16	validation
#FC8D62	11	11	0.334821441067167	0.200888805591892	17	validation
#66C2A5	12	12	0.222627647863225	0.200888805591892	17	subtrain
#FC8D62	13	13	0.121519266167902	0.200888805591892	17	validation
#FC8D62	14	14	-0.0378266644956678	0.200888805591892	17	validation
#FC8D62	15	15	0.296136416036393	0.200888805591892	17	validation
#66C2A5	16	16	0.179149963320559	0.200888805591892	17	subtrain
#FC8D62	17	17	0.182024297912188	0.200888805591892	17	validation
#FC8D62	11	11	0.334821441067167	0.200888805591892	18	validation
#66C2A5	12	12	0.222627647863225	0.200888805591892	18	subtrain
#FC8D62	13	13	0.121519266167902	0.200888805591892	18	validation
#FC8D62	14	14	-0.0378266644956678	0.200888805591892	18	validation
#FC8D62	15	15	0.296136416036393	0.200888805591892	18	validation
#66C2A5	16	16	0.179149963320559	0.200888805591892	18	subtrain
#FC8D62	17	17	0.182024297912188	0.200888805591892	18	validation
#FC8D62	11	11	0.334821441067167	0.227644127814877	5	validation
#66C2A5	12	12	0.222627647863225	0.227644127814877	5	subtrain
#FC8D62	13	13	0.121519266167902	0.227644127814877	5	validation
#FC8D62	14	14	-0.0378266644956678	0.227644127814877	5	validation
#FC8D62	15	15	0.296136416036393	0.227644127814877	5	validation
#66C2A5	16	16	0.179149963320559	0.227644127814877	5	subtrain
#FC8D62	17	17	0.182024297912188	0.227644127814877	5	validation
#FC8D62	18	18	0.278026945290612	0.227644127814877	5	validation
#66C2A5	19	19	0.265765443731891	0.227644127814877	5	subtrain
#66C2A5	20	20	0.243033456343833	0.227644127814877	5	subtrain
#FC8D62	11	11	0.334821441067167	0.227644127814877	6	validation
